0.0021354, 95.521
0.0020793, 87.156
0.0020247, 75.962
0.0020518, 70.916
0.0019715, 64.706
0.0020793, 58.367
0.0019715, 53.256
0.0021072, 50.291
0.0019454, 46.951
0.0021072, 44.337
0.0019715, 41.869
0.0022823, 39.538
0.0019715, 35.665
0.0021072, 32.542
0.0020247, 29.692
0.0020518, 27.404
0.0021354, 26.176
0.0020793, 22.814
0.0019979, 19.658
0.0022224, 17.530
0.0024721, 16.938
0.0021354, 15.995
0.0020518, 13.941
0.0022823, 13.316
0.0026422, 12.720
0.0030183, 12.432
0.0034942, 13.164
0.0038868, 13.941
0.0042664, 14.428
0.0040994, 15.633
0.0039389, 16.366
0.0036366, 17.330
0.0040994, 18.352
0.0044997, 19.212
0.0042100, 21.544
0.0040452, 25.584
0.0044402, 26.783
0.0040994, 28.362
0.0042664, 31.804
0.0040452, 32.916
0.0042664, 36.912
0.0038868, 39.538
0.0043815, 41.869
0.0040994, 46.951
0.0044402, 52.050
0.0040452, 55.753
0.0043235, 63.969
0.0041543, 71.733
0.0044402, 78.618
0.0043815, 83.253
0.0042664, 88.160
0.0041543, 98.861
